Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Primary Equipment ,Primary Items,Posture,Body Region
Double Kettlebell Suitcase Carry,Video Demonstration,Video Explanation,Beginner,Forearms,Brachioradialis,Kettlebell,2,Walking,Full Body
Single Arm Kettlebell Suitcase Carry,Video Demonstration,Video Explanation,Beginner,Forearms,Brachioradialis,Kettlebell,1,Walking,Full Body
Single Arm Dumbbell Suitcase Carry,Video Demonstration,,Beginner,Forearms,Brachioradialis,Dumbbell,1,Walking,Full Body
Bodyweight Foot Elevated Cossack Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Foot Elevated Standing,Lower Body
Cable Seated Floor V Grip Lat Pulldown,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Cable,1,Seated Floor,Upper Body
Suspension Alternating Cossack Squat,,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Suspension Trainer,1,Standing,Lower Body
Battle Rope Alternating Wave,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Battle Ropes,1,Standing,Upper Body
Suspension Split Squat,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Suspension Trainer,1,Split Stance Standing,Lower Body
Double Kettlebell Suitcase Deadlift,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Kettlebell,2,Standing,Full Body
Suspension Cyclist Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Suspension Trainer,1,Standing,Lower Body
Cable Rope Tall Kneeling Tricep Pushdown,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Cable,1,Tall Kneeling,Upper Body
Bodyweight Cyclist Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Bodyweight,0,Standing,Lower Body
Miniband Supine Alternating Hip Flexion,Video Demonstration,,Beginner,Hip Flexors,Iliopsoas,Miniband,1,Supine,Lower Body
Cable Straight Bar Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Cable,1,Standing,Upper Body
Dumbbell Hip Thrust,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Dumbbell,1,Bridge,Lower Body
Kettlebell Romanian Deadlift,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Kettlebell,1,Standing,Lower Body
Double Dumbbell Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Dumbbell,2,Standing,Upper Body
Alternating Double Dumbbell Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Alternating Double Dumbbell Incline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Alternating Double Dumbbell Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Alternating Double Dumbbell Top Down Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Alternating Double Dumbbell Top Down Incline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Alternating Double Dumbbell Top Down Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Dumbbell,2,Supine,Upper Body
Bar Dead Hang,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Pull Up Bar,1,Hanging,Upper Body
Ring Hanging Knee Raise ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,Midsection
Knee Hover Bird Dog,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Knee Hover Quadruped,Midsection
Ring Hanging Oblique Knee Raise,Video Demontration,Video Explanation,Intermediate,Abdominals,Obliques,Gymnastic Rings,2,Hanging,Midsection
Alternating Side Kick Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Knee Hover Quadruped,Midsection
Ring L Hang Flutter Kicks ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gymnastic Rings,2,Hanging,Midsection
Slam Ball Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Slam Ball,1,Seated,Midsection
Suspension Lateral Knee Tuck,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Suspension Trainer,1,Prone,Midsection
Push Up Alternating Kick Through,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Bodyweight,0,Prone,Upper Body
Single Arm Dumbbell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Dumbbell,1,Supine,Full Body
Standing Walkout Plank,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Standing,Midsection
Standing Walkout Push-Up ,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,Bodyweight,0,Prone,Upper Body
Ring Pull Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,Gymnastic Rings,2,Hanging,Upper Body
Cable Reverse Ankle Strap Crunch,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Cable,1,Supine,Midsection
Cable Half Kneeling High to Low Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Cable,1,Half Kneeling,Midsection
Cable Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Cable,1,Half Kneeling,Midsection
Kettlebell Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Kettlebell,1,Half Kneeling,Midsection
Cable Standing High to Low Chop ,https://www.youtube.com/watch?v=A5Y7XhrAwJM ,https://www.youtube.com/watch?v=AISK2-b8W00 ,Intermediate,Abdominals,Obliques,Cable,1,Standing,Midsection
Cable Standing Low to High Chop,https://www.youtube.com/watch?v=NJuDvq20O4M ,https://www.youtube.com/watch?v=CzCWvgh0jis,Intermediate,Abdominals,Obliques,Cable,1,Standing,Midsection
Single Arm Dumbbell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Dumbbell,1,Standing,Midsection
Single Arm Kettlebell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Kettlebell,1,Standing,Midsection
Alternating Single Arm Kettlebell Plank Pull Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Kettlebell,1,Prone,Midsection
Hollow Body Hold,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Midsection
Dumbbell Crush Grip Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Dumbbell,1,Supine,Midsection
Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Kettlebell,1,Single Leg Standing Bent Knee,Midsection
Butterfly Sit Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Bodyweight,0,Supine,Midsection
Slider Wide Mountain Climber,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Sliders,2,Prone,Midsection
Single Arm Dumbbell Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Dumbbell,1,Side Plank,Midsection
Miniband Feet Lateral Walk,Video Demonstration,Video Explanation,Intermediate,Abductors,Gluteus Medius,Miniband,1,Walking,Lower Body
Barbell Single Leg Hip Thrust,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Barbell,1,Single Leg Bridge,Lower Body
Stability Ball Single Leg Glute Bridge,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Stability Ball,1,Bridge,Lower Body
Barbell Standing Calf Raise,Video Demonstration,Video Explanation,Intermediate,Calves,Gastrocnemius,Barbell,1,Standing,Lower Body
Pike Push Up,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Bodyweight,0,Inverted,Upper Body
Parallette Feet Elevated Pike Push Up ,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Parallette Bars,2,Inverted,Upper Body
Barbell Thruster,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Barbell,1,Standing,Full Body
Barbell Sots Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Barbell,1,,Upper Body
Single Arm Dumbbell V Sit Overhead Press ,https://www.youtube.com/watch?v=UGAoAaYZgNY ,https://www.youtube.com/watch?v=VOZFmJ0K7mU ,Intermediate,Shoulders,Anterior Deltoids,Dumbbell,1,V Sit Seated,Upper Body
Double Dumbbell Z Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Dumbbell,2,Seated Floor,Upper Body
Single Arm Dumbbell Z Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Dumbbell,1,Seated Floor,Upper Body
Single Arm Dumbbell Overhead Carry,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Dumbbell,1,Walking,Full Body
Parallette Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Parallette Bars,1,Side Plank,Midsection
